CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	21	00	000	1	001	21	3305	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330501USDN7	0
2	21	00	000	1	001	21	3311	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331101USDN7	0
2	21	00	000	1	001	21	3312	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331201USDN7	0
2	21	00	000	1	001	21	3313	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121331301USDN7	0
2	21	00	000	1	001	21	5007	01	USD	N	3	31/12/2999 0:00:00,000000	28/6/2018 20:53:05,425551	0700	2359	100000	22100000100121500701USDN3	1
2	21	00	000	1	001	21	3320	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121332001USDN7	0
2	21	00	000	1	001	21	5007	01	USD	N	4	31/12/2999 0:00:00,000000	28/6/2018 20:53:05,484930	0700	2359	100000	22100000100121500701USDN4	1
2	21	00	000	1	001	21	3330	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121333001USDN7	0
2	21	00	000	1	001	21	5007	01	USD	N	5	31/12/2999 0:00:00,000000	28/6/2018 20:53:05,546181	0700	2359	100000	22100000100121500701USDN5	1
2	21	00	000	1	001	21	5009	01	USD	N	3	31/12/2999 0:00:00,000000	28/6/2018 20:53:08,311013	0700	2359	100000	22100000100121500901USDN3	1
2	21	00	000	1	001	21	4000	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121400001USDN7	0
2	21	00	000	1	001	21	4001	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121400101USDN7	0
2	21	00	000	1	001	21	4021	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121402101USDN7	0
